Empresa;Projeto;Categoria;jan/24;fev/24;mar/24;abr/24;mai/24;jun/24;jul/24;ago/24;set/24;out/24;nov/24;dez/24;jan/25;fev/25;mar/25;abr/25;mai/25;jun/25;jul/25;ago/25;set/25;out/25;nov/25;dez/25;jan/26;
Mar_BR;Eventuais B2G;Corretiva - B2G;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;
Mar_BR;PG - 171;Corretiva - B2G;33467;13252;29059;36038;14233;18788;2820;4017;5821;3480;5425;891;0;0;0;0;0;;;;;;;;;
Mar_BR;PG - Chiller;Corretiva - B2G;9370;2631;4511;7569;5518;5168;1222;2410;7094;2103;2855;976;0;0;0;0;0;;;;;;;;;
Mar_BR;Santos STS Seduc 36693/2022 12/2024;Corretiva - B2G;1169;0;1438;8580;5963;13241;15366;8648;13589;13581;23574;3181;23209;14640;21685;42689;29229;;;;;;;;;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Corretiva - B2G;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6516;636;4879;;;;;;;;;
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Corretiva - B2G;0;0;0;0;0;0;0;0;0;588;61;281;1376;13539;14508;1795;2339;;;;;;;;;
Ybox;Ybox;Despesas Administrativas;1029;821;578;2006;7984;4228;4282;506;506;506;568;3763;2826;1891;2071;1953;3347;1987;29453;7680,47;9501;4332,32;19672,47;18569,3;21944;
Ybox;Ybox;Dividendos;17749;19067;19640;19640;19328;19328;19328;19328;19328;27840;8977;9115;19112;17899;15003;17899;17899;17899;24795;35284;24398;29398,22;22224,93;24333;25146;
Ybox;Ybox;Impostos;6472;6078;6068;6059;6049;6038;6334;6015;6004;6045;6084;6107;6149;6174;6158;6151;6144;8990;2846;4880;4802;4802;3526,88;3526,88;3243;
Ybox;Ybox;Jurídico;3500;3500;3500;3587;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;;;;;;;
Ybox;Ybox;Juros e devoluções;7626;8319;7626;7626;7626;3500;3500;3500;0;3500;0;0;3500;3500;3500;3500;3500;3500;3500;;;;1258,04;;;
Ybox;Ybox;Receita Bruta de Vendas;41592;41592;41592;41592;41592;45718;45718;41592;45718;46473;45258;45258;43118;43694;43118;43118;43118;43118;43118;43118;44357;46137,03;49160,62;46759,18;46759;
DZM;DZM - Mar Brasil;Recuperação de Despesas Variáveis;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363;
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Custo dos Serviços Prestados;0;0;0;0;0;0;0;0;0;0;2538;179;2447;5939;628;0;1834;;;;;;;;;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Custo dos Serviços Prestados;0;0;0;0;0;0;0;0;0;0;0;2079;1112;968;1200;1671;1710;;;;;;;;;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Custo dos Serviços Prestados;35871;81350;36282;144;131;415;2104;1773;4581;72;72;0;0;0;0;0;1672;;;;;;;;;
Mar_BR;Oftalmo;Custo dos Serviços Prestados;563;970;602;784;2184;702;283;584;853;995;565;579;545;539;621;640;0;;;;;;;;;
Mar_BR;PG - 171;Custo dos Serviços Prestados;10042;12289;7690;5850;15427;3923;1898;4028;7602;8399;4101;120;0;0;0;0;0;;;;;;;;;
Mar_BR;PG - Chiller;Custo dos Serviços Prestados;2622;3636;1131;475;1409;475;343;394;715;853;443;444;0;0;0;0;0;;;;;;;;;
Mar_BR;Santos STS Seduc 36693/2022 12/2024;Custo dos Serviços Prestados;13632;10000;24999;20998;56787;18759;10601;17654;24968;29944;91931;13517;11729;9301;23823;20000;17015;;;;;;;;;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Custo dos Serviços Prestados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6971;8333;1421;;;;;;;;;
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Despesas Administrativas;0;0;0;0;0;0;0;0;0;78896;12340;7917;23954;42979;979;524;12234;;;;;;;;;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Despesas Administrativas;0;0;0;0;0;0;0;0;0;0;0;12897;10002;9366;11630;10720;3784;;;;;;;;;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Despesas Administrativas;10908;7847;177;625;787;9230;13532;8632;9143;60;0;0;0;0;0;0;4840;;;;;;;;;
Mar_BR;Oftalmo;Despesas Administrativas;4300;2692;3132;5350;4466;2158;3889;3869;3873;3726;3369;3612;4587;4076;3584;7697;0;;;;;;;;;
Mar_BR;PG - 171;Despesas Administrativas;41402;31596;25028;44846;36647;31975;35549;32850;41778;40329;15764;3577;0;0;0;0;0;;;;;;;;;
Mar_BR;PG - Chiller;Despesas Administrativas;10936;5598;1673;5682;5864;5710;4813;5593;5719;4728;2515;2406;0;0;0;0;0;;;;;;;;;
Mar_BR;Santos STS Seduc 36693/2022 12/2024;Despesas Administrativas;8617;24605;45606;106479;79212;78718;74295;71182;91577;88132;80804;110405;109134;120672;111486;133010;96586;;;;;;;;;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Despesas Administrativas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7195;8559;6364;;;;;;;;;
Mar_BR;Oftalmo;Despesas com Pessoal;0;0;0;0;0;0;0;0;0;261;0;0;43;0;1;0;0;;;;;;;;;
Mar_BR;PG - 171;Despesas com Pessoal;35482;32205;36193;37228;36222;34094;45586;50456;40376;41118;34080;20451;0;0;0;0;0;;;;;;;;;
Mar_BR;PG - Chiller;Despesas com Pessoal;4696;6794;7879;7526;9652;3896;13583;8527;9056;9025;8102;2812;0;0;0;0;0;;;;;;;;;
Mar_BR;Rede Alpha;Despesas com Pessoal;0;0;0;0;0;0;0;0;0;0;0;0;274;274;274;274;274;;;;;;;;;
Mar_BR;Rossi Advogados;Despesas com Pessoal;0;0;0;0;0;0;0;0;0;0;0;0;96;96;96;96;96;;;;;;;;;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Despesas com Pessoal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14269;24633;19277;;;;;;;;;
