Empresa;Projeto;Categoria;jan/24;fev/24;mar/24;abr/24;mai/24;jun/24;jul/24;ago/24;set/24;out/24;nov/24;dez/24;jan/25;fev/25;mar/25;abr/25;mai/25;jun/25;jul/25;ago/25;set/25;out/25;nov/25;dez/25
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Equipamentos;;;;;;;615;615;615;615;615;615;615;615;615;615;615;615;615;615;615;615;615;
Mar_BR;Bertioga 3151;Equipamentos;;;;;;;;;;;;;;;;;;;;;;;;639
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Equipamentos;;;;;;;;;;;245;245;245;245;245;245;245;245;245;245;245;245;245;
Mar_BR;Oftalmo;Equipamentos;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;;;;;;;;
Mar_BR;PG - 171;Equipamentos;1820;1820;1820;1820;1820;1820;1820;1820;1820;1820;1820;;;;;;;;;;;;;
Mar_BR;PG - Chiller;Equipamentos;301;301;301;301;301;301;301;301;301;301;301;301;;;;;;;;;;;;
Mar_BR;Rede Alpha;Equipamentos;27;27;27;27;27;27;27;27;24;24;24;24;18;18;18;18;18;18;18;18;18;18;18;24
Mar_BR;São Paulo CREF4 PSP 2325/2025 93/2025;Equipamentos;;;;;;;;;;;;;;;;;;;;;;;;1
Mar_BR;São Paulo CRSN PSP 6018/2025;Equipamentos;;;;;;;;;;;;;;;;;;;;;;;;142
Mar_BR;Rossi Advogados;Equipamentos;;;;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
Mar_BR;Santos STS Seduc 36693/2022 12/2024;Equipamentos;;1904;1904;1904;1904;1904;1904;1904;1904;1904;1904;1904;1904;1904;2284;2284;2284;2284;2284;2284;2284;2284;2284;2284
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Equipamentos;;;;;;;;;;;;;;;408;408;408;408;408;408;408;408;408;381
Mar_BR;Ybox-MarBR;Honorários;6952;5904;5976;5976;5906;5906;8838;2975;5404;2975;3051;8666;3051;5644;5618;5644;5644;5966;3634;7260;3545;3545;;
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Impostos;0;0;0;0;0;0;0;0;0;6777;6840;6782;27122;1497;0;0;5545;;;;;;;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Impostos;0;0;0;0;0;0;0;0;0;0;0;3616;3616;3851;3616;3616;2668;;;;;;;
