ATIVOS E BENS;Detalhes;FORMATO;TIPO;EMPRESA;Documento;CENTRO DE CUSTO;STATUS;FORMA DE PAGTO;Dia Débito;Início Contrato;Término Contrato;Mês; Total Contrato ;Parcelas Contratadas; Valor Parcela ;Parcelas Pagas;Parcelas Restantes; Total Pago ; Montante a Pagar 
Compra Monitores; - 10un;PARCELAMENTO;ATIVOS;MAR BRASIL;;Mar Brasil - Rateio;Pagando;CC Elo - Dauren;10;10/05/2025;10/01/2026;46032; R$ 6.520,00 ;10; R$ 652,00 ;8;2; R$ 5.216,00 ; R$ 1.304,00 
Compra Monitor;Priscilla/Tchandra;PARCELAMENTO;ATIVOS;MAR BRASIL;;Mar Brasil - Rateio;Liquidado;CC Sicredi Visa Empresarial;23;21/06/2024;21/05/2025;; R$ 2.098,20 ;12; R$ 174,85 ;12;0; R$ 2.098,20 ; R$ -   
Smartphones; - 05un;PARCELAMENTO;ATIVOS;MAR BRASIL;;Mar Brasil - Rateio;Liquidado;CC Elo - Priscilla;10;10/01/2024;10/10/2024;; R$ 5.834,00 ;10; R$ 583,40 ;10;0; R$ 5.834,00 ; R$ -   
Smartphones; - 04un;PARCELAMENTO;ATIVOS;MAR BRASIL;;Mar Brasil - Rateio;Liquidado;CC Elo - Priscilla;10;10/10/2024;10/08/2025;45879; R$ 5.803,40 ;10; R$ 580,34 ;10;0; R$ 5.803,40 ; R$ -   
Smartphones; - 02un;PARCELAMENTO;ATIVOS;MAR BRASIL;;Mar Brasil - Rateio;Liquidado;CC Elo - Priscilla;10;10/09/2024;10/06/2025;; R$ 3.295,80 ;10; R$ 329,58 ;10;0; R$ 3.295,80 ; R$ -   
Iphone; - Priscilla;PARCELAMENTO;ATIVOS;MAR BRASIL;;Mar Brasil - Rateio;Pagando;Fatura Claro;10;28/11/2025;28/10/2027;46688; R$ 8.930,00 ;24; R$ 247,46 ;0;24; R$ -   ; R$ 5.939,04 
Iphone; - Priscilla;PARCELAMENTO;ATIVOS;MAR BRASIL;;Mar Brasil - Rateio;Pagando;;10;10/12/2023;10/12/2025;46001; R$ 5.939,04 ;24; R$ 247,46 ;23;1; R$ 5.691,58 ; R$ 247,46 
Cadeiras Escritório; Comercial;PARCELAMENTO;ATIVOS;MAR BRASIL;;Mar Brasil - Rateio;Liquidado;CC Elo - Priscilla;10;10/01/2025;10/10/2025;45940; R$ 4.428,80 ;10; R$ 442,88 ;10;0; R$ 4.428,80 ; R$ -   
Cadeiras Escritório; TI;PARCELAMENTO;ATIVOS;MAR BRASIL;;Mar Brasil - Rateio;Liquidado;CC Elo - Priscilla;10;10/02/2025;10/11/2025;45971; R$ 3.338,10 ;10; R$ 333,81 ;10;0; R$ 3.338,10 ; R$ -   
Televisores Escritório;03 unidades;PARCELAMENTO;ATIVOS;MAR BRASIL;;Mar Brasil - Rateio;Liquidado;CC Sicredi Visa Empresarial;23;23/09/2024;21/08/2025;45890; R$ 7.797,00 ;12; R$ 649,75 ;12;0; R$ 7.797,00 ; R$ -   
Compra Tenda ;;PARCELAMENTO;ATIVOS;MAR BRASIL;;Mar Brasil - Rancho;Liquidado;CC Sicredi Visa Empresarial;23;25/08/2024;25/07/2025;45863; R$ 9.087,00 ;12; R$ 757,25 ;12;0; R$ 9.087,00 ; R$ -   
Compra Roçadeira;;PARCELAMENTO;ATIVOS;MAR BRASIL;;DZM - Rancho;Liquidado;CC Sicredi Visa Empresarial;23;23/01/2025;23/11/2025;45984; R$ 693,90 ;10; R$ 69,39 ;10;0; R$ 693,90 ; R$ -   
Parcelamento Alvará 2025;;PARCELAMENTO;DESPESA;MAR BRASIL;;Mar Brasil - Rateio;Liquidado;Guia;9;10/01/2025;10/08/2025;45879; R$ 2.322,50 ;8; R$ 232,25 ;8;0; R$ 1.858,00 ; R$ -   
Parcelamento ISS 2022;;PARCELAMENTO;DESPESA;MAR BRASIL;910009/2022;Mar Brasil - Rateio;Pagando;Guia;11;11/04/2022;11/03/2027;46457; R$ 22.198,20 ;60; R$ 369,97 ;44;16; R$ 16.278,68 ; R$ 5.919,52 
Parcelamento Alvará 2020;;PARCELAMENTO;DESPESA;MAR BRASIL;;Mar Brasil - Rateio;Liquidado;Guia;25;25/05/2023;22/04/2024;; R$ 9.307,15 ;12; R$ 775,55 ;12;0; R$ 9.306,60 ; R$ -   
Parcelamento Simples Nacional;;PARCELAMENTO;DESPESA;MAR BRASIL;Negociação 4911852;Mar Brasil - Rateio;Pagando;Guia;28;30/09/2021;30/09/2033;48852; R$ 232.082,29 ;145; R$ 2.294,22 ;51;94; R$ 80.788,61 ; R$ 215.656,68 
Giro Pronampe;;PARCELAMENTO;DESPESA;MAR BRASIL;Contr 015828170;Mar Brasil - Rateio;Pagando;Débito CC Bradesco - MBR;27;24/08/2022;27/08/2026;46261; R$ 214.605,19 ;42; R$ 5.815,27 ;34;8; R$ 112.714,50 ; R$ 46.522,16 
Giro Pronampe;;PARCELAMENTO;DESPESA;CONECTIUS;;Conectius - Rateio;Pagando;Débito CC Itau - Conectius;30;30/03/2023;30/08/2026;46264; R$ 171.116,40 ;42; R$ 4.081,99 ;34;8; R$ 140.330,87 ; R$ 32.655,92 
Trabalhista (Ed Carlos);;PARCELAMENTO;DESPESA;MAR BRASIL;;Mar Brasil - Rateio;Pagando;;13;13/01/2025;13/03/2026;46094; R$ 12.000,00 ;16; R$ 750,00 ;12;4; R$ 9.000,00 ; R$ 3.000,00 
Trabalhista (Ed Carlos);;PARCELAMENTO;DESPESA;MAR BRASIL;;Mar Brasil - Rateio;Pagando;;13;13/04/2026;13/04/2026;; R$ 250,00 ;1; R$ 250,00 ;0;1; R$ -   ; R$ 250,00 
Trabalhista (Ed Carlos);;PARCELAMENTO;DESPESA;MAR BRASIL;;Mar Brasil - Rateio;Pagando;;13;13/05/2026;13/05/2026;; R$ 500,00 ;1; R$ 500,00 ;0;1; R$ -   ; R$ 500,00 
;;;;;;;;;;;;;;;;;; Transferido ; R$ 133.645,52 
;;;;;;;;;;;;;;;;;;;#REF!
