empresa_id;empresa_nome;codigo_lancamento_omie;competencia;issue_type;issue_description
8w7t3s0f;DZM;11491982286;28/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982295;31/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982308;28/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982334;11/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982345;13/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982369;30/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982381;10/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982397;30/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982409;30/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982421;30/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982431;30/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982442;30/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982455;30/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982483;29/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982495;30/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982508;28/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982524;06/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982534;13/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982545;11/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982558;01/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982575;28/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982610;30/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982635;06/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982652;31/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982678;30/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982688;01/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982696;31/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982713;07/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982736;30/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982760;06/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982769;28/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982785;30/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982796;21/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982820;30/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982832;01/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982841;28/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982864;30/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982880;06/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982892;31/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982919;30/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982933;06/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982946;10/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491982957;10/02/2025;projeto_ausente;Projeto ausente
