Empresa;Projeto;Categoria;jun/25;jul/25;ago/25;set/25;out/25;nov/25;dez/25
Mar_BR;São Paulo CRSN PSP 6018/2025;Despesas com Pessoal;0;0;0;0;338;931;1275
Mar_BR;São Paulo CRSN PSP 6018/2025;Despesas de Vendas e Marketing;0;0;0;0;0;51;47
Mar_BR;São Paulo CRSN PSP 6018/2025;Impostos;0;0;0;0;0;5183;4803
Mar_BR;São Paulo CRSN PSP 6018/2025;Outros Custos;0;0;0;0;0;337;204
Mar_BR;São Paulo CRSN PSP 6018/2025;Preventiva - B2G;0;0;0;0;0;45;12
Mar_BR;São Paulo CRSN PSP 6018/2025;Provisão - IRPJ e CSSL Trimestral;0;0;0;0;0;1374;1398
Mar_BR;São Paulo CRSN PSP 6018/2025;Receita Bruta de Vendas;0;0;0;0;0;23768;23768
Mar_BR;São Paulo CRSN PSP 6018/2025;Receitas Financeiras;0;0;0;0;0;0;0
Mar_BR;Ybox;Despesas Administrativas;0;74;0;76;0;0;0
Mar_BR;Ybox;Despesas Financeiras;0;0;14;0;0;0;0
Total geral;São Paulo CMSP CSP 274/2024 03/2025;Outros Tributos;219856;190591;80207;95732;116549;13069;289434
