Empresa;Projeto;Categoria;jan/24;fev/24;mar/24;abr/24;mai/24;jun/24;jul/24;ago/24;set/24;out/24;nov/24;dez/24;jan/25;fev/25;mar/25;abr/25;mai/25;jun/25;jul/25;ago/25;set/25;out/25;nov/25;dez/25
Conectius;Conectius - Rateio;Ativos;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333;8261;10900;7076;7432;6590;0
Conectius;Conectius - Rateio;Consórcios - a contemplar;694;694;694;694;694;694;694;694;694;694;694;694;694;694;694;694;694;694;694;710;681;686;699;0
Conectius;Conectius - Rateio;Custo dos Serviços Prestados;0;0;0;9982;7366;7305;7305;7305;7305;7305;1290;7305;8262;8362;8262;8262;8707;8262;0;1016;0;0;0;0
Conectius;Conectius - Rateio;Despesas Administrativas;3524;3927;0;1748;1079;989;1555;1753;1710;1465;2423;4549;4457;860;2967;3420;2139;1940;5950;1844;3691;4001;2635;0
Conectius;Conectius - Rateio;Despesas com Pessoal;45755;33709;12608;3458;2547;3152;2576;3014;3162;4231;3494;6540;9594;9138;8052;6224;8489;3561;1418;0;8668;167;0;0
Conectius;Conectius - Rateio;Despesas Financeiras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8521;9316;7678;6152;6207;0
Conectius;Conectius - Rateio;Despesas Variáveis;0;0;0;1646;921;831;1397;1595;1595;1063;2308;4434;4342;745;2852;3296;1887;1809;5950;1844;0;0;0;0
Conectius;Conectius - Rateio;Impostos;24600;15051;2497;701;816;446;2151;1376;1470;375;355;371;892;1731;446;446;446;870;881;0;0;515;167;0
Conectius;Conectius - Rateio;Outras Receitas;0;0;0;0;0;0;0;0;0;0;0;0;3591;3591;3591;3591;3591;3591;3591;3591;3591;0;0;0
Conectius;Conectius - Rateio;Plano de Saúde;0;0;0;0;0;0;0;0;0;0;0;0;5395;5395;5395;5395;5395;5395;5395;6179;9485;1314;6785;0
Conectius;Conectius - Rateio;Receita Bruta de Vendas;168883;102034;7916;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8587;0;0;0
Conectius;Conectius - Rateio;Receitas Financeiras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
DZM;DZM - Alcalinas;Despesas Administrativas;966;1111;1347;1684;2022;850;1024;919;1390;991;897;543;1498;930;484;484;484;0;484;0;345;374;374;374
DZM;DZM - Audiovisual;Despesas Administrativas;0;0;0;0;0;175;61;83;83;157;496;287;130;446;176;127;0;0;0;0;0;0;0;0
DZM;DZM - Imóveis Guilhermina;Despesas Administrativas;0;0;0;0;74;4;2;112;294;117;202;497;515;554;420;231;14;523;1067;157;338;369;349;606
DZM;DZM - Rancho da Praia;Despesas Administrativas;9037;6235;3270;3996;7788;2998;1841;6663;23003;33226;53884;46072;19672;12349;5128;14443;10500;4917;5466;8804;7491;9428;15380;4729
